MonthCode,Year,V1,V2,V3,V4
263,1931,1931.7084,,0,0
264,1931,1931.7916,,0,0
265,1931,1931.875,,0,0
266,1931,1931.9584,,0,0
267,1932,1932.0416,,0,0
268,1932,1932.125,,0,0
269,1932,1932.2084,,0,0
270,1932,1932.2916,,0,0
271,1932,1932.375,,0,0
272,1932,1932.4584,,0,0
273,1932,1932.5416,,0,0
274,1932,1932.625,,0,0
275,1932,1932.7084,,0,0
276,1932,1932.7916,,0,0
277,1932,1932.875,,0,0
278,1932,1932.9584,,0,0
279,1933,1933.0416,,0,0
280,1933,1933.125,,0,0
281,1933,1933.2084,,0,0
282,1933,1933.2916,,0,0
283,1933,1933.375,,0,0
284,1933,1933.4584,,0,0
285,1933,1933.5416,,0,0
286,1933,1933.625,,0,0
287,1933,1933.7084,,0,0
288,1933,1933.7916,,0,0
289,1933,1933.875,,0,0
290,1933,1933.9584,,0,0
291,1934,1934.0416,,0,0
292,1934,1934.125,,0,0
293,1934,1934.2084,,0,0
294,1934,1934.2916,,0,0
295,1934,1934.375,,0,0
296,1934,1934.4584,,0,0
297,1934,1934.5416,,0,0
298,1934,1934.625,,0,0
299,1934,1934.7084,,0,0
300,1934,1934.7916,,0,0
301,1934,1934.875,,0,0
302,1934,1934.9584,,0,0
303,1935,1935.0416,,0,0
304,1935,1935.125,,0,0
305,1935,1935.2084,,0,0
306,1935,1935.2916,,0,0
307,1935,1935.375,,0,0
308,1935,1935.4584,,0,0
309,1935,1935.5416,,0,0
310,1935,1935.625,,0,0
311,1935,1935.7084,,0,0
312,1935,1935.7916,,0,0
313,1935,1935.875,,0,0
314,1935,1935.9584,,0,0
315,1936,1936.0416,,0,0
316,1936,1936.125,,0,0
317,1936,1936.2084,,0,0
318,1936,1936.2916,,0,0
319,1936,1936.375,,0,0
320,1936,1936.4584,,0,0
321,1936,1936.5416,,0,0
322,1936,1936.625,,0,0
323,1936,1936.7084,,0,0
324,1936,1936.7916,,0,0
325,1936,1936.875,,0,0
326,1936,1936.9584,,0,0
327,1937,1937.0416,,0,0
328,1937,1937.125,,0,0
329,1937,1937.2084,,0,0
330,1937,1937.2916,,0,0
331,1937,1937.375,,0,0
332,1937,1937.4584,,0,0
333,1937,1937.5416,,0,0
334,1937,1937.625,,0,0
335,1937,1937.7084,,0,0
336,1937,1937.7916,,0,0
337,1937,1937.875,,0,0
338,1937,1937.9584,,0,0
339,1938,1938.0416,,0,0
340,1938,1938.125,,0,0
341,1938,1938.2084,,0,0
342,1938,1938.2916,,0,0
343,1938,1938.375,,0,0
344,1938,1938.4584,,0,0
345,1938,1938.5416,,0,0
346,1938,1938.625,,0,0
347,1938,1938.7084,,0,0
348,1938,1938.7916,,0,0
349,1938,1938.875,,0,0
350,1938,1938.9584,,0,0
351,1939,1939.0416,,0,0
352,1939,1939.125,,0,0
353,1939,1939.2084,,0,0
354,1939,1939.2916,,0,0
355,1939,1939.375,,0,0
356,1939,1939.4584,,0,0
357,1939,1939.5416,,0,0
358,1939,1939.625,,0,0
359,1939,1939.7084,,0,0
360,1939,1939.7916,,0,0
361,1939,1939.875,,0,0
362,1939,1939.9584,,0,0
363,1940,1940.0416,713.9,5,0
364,1940,1940.125,723.2,0,0
365,1940,1940.2084,712.2,0,0
366,1940,1940.2916,699.2,0,0
367,1940,1940.375,703.2,0,0
368,1940,1940.4584,698.2,0,0
369,1940,1940.5416,703.2,0,0
370,1940,1940.625,701.2,0,0
371,1940,1940.7084,708.2,0,0
372,1940,1940.7916,713.2,0,0
373,1940,1940.875,709.2,0,0
374,1940,1940.9584,725.2,0,0
375,1941,1941.0416,723.2,0,0
376,1941,1941.125,723.2,0,0
377,1941,1941.2084,716.2,0,0
378,1941,1941.2916,704.2,0,0
379,1941,1941.375,707.2,0,0
380,1941,1941.4584,702.2,0,0
381,1941,1941.5416,704.2,0,0
382,1941,1941.625,705.2,0,0
383,1941,1941.7084,709.2,0,0
384,1941,1941.7916,709.2,0,0
385,1941,1941.875,716.2,0,0
386,1941,1941.9584,729.2,0,0
387,1942,1942.0416,,0,0
388,1942,1942.125,,0,0
389,1942,1942.2084,,0,0
390,1942,1942.2916,,0,0
391,1942,1942.375,,0,0
392,1942,1942.4584,,0,0
393,1942,1942.5416,,0,0
394,1942,1942.625,,0,0
395,1942,1942.7084,,0,0
396,1942,1942.7916,,0,0
397,1942,1942.875,,0,0
398,1942,1942.9584,,0,0
399,1943,1943.0416,702.2,0,0
400,1943,1943.125,706.2,0,0
401,1943,1943.2084,700.2,0,0
402,1943,1943.2916,703.2,0,0
403,1943,1943.375,692.2,0,0
404,1943,1943.4584,701.2,0,0
405,1943,1943.5416,702.2,0,0
406,1943,1943.625,702.2,0,0
407,1943,1943.7084,699.2,0,0
408,1943,1943.7916,707.2,0,0
409,1943,1943.875,701.2,0,0
410,1943,1943.9584,699.2,0,0
411,1944,1944.0416,708.2,0,0
412,1944,1944.125,699.2,0,0
413,1944,1944.2084,691.2,0,0
414,1944,1944.2916,698.2,0,0
415,1944,1944.375,692.2,0,0
416,1944,1944.4584,698.2,0,0
417,1944,1944.5416,699.2,0,0
