Year,V1,V2,V3,V4
1931,1931.9584,,0,0
1932,1932.0416,,0,0
1932,1932.125,,0,0
1932,1932.2084,,0,0
1932,1932.2916,,0,0
1932,1932.375,,0,0
1932,1932.4584,,0,0
1932,1932.5416,,0,0
1932,1932.625,,0,0
1932,1932.7084,,0,0
1932,1932.7916,,0,0
1932,1932.875,,0,0
1932,1932.9584,,0,0
1933,1933.0416,,0,0
1933,1933.125,,0,0
1933,1933.2084,,0,0
1933,1933.2916,,0,0
1933,1933.375,,0,0
1933,1933.4584,,0,0
1933,1933.5416,,0,0
1933,1933.625,,0,0
1933,1933.7084,,0,0
1933,1933.7916,,0,0
1933,1933.875,,0,0
1933,1933.9584,,0,0
1934,1934.0416,,0,0
1934,1934.125,,0,0
1934,1934.2084,,0,0
1934,1934.2916,,0,0
1934,1934.375,,0,0
1934,1934.4584,,0,0
1934,1934.5416,,0,0
1934,1934.625,,0,0
1934,1934.7084,,0,0
1934,1934.7916,,0,0
1934,1934.875,,0,0
1934,1934.9584,,0,0
1935,1935.0416,,0,0
1935,1935.125,,0,0
1935,1935.2084,,0,0
1935,1935.2916,,0,0
1935,1935.375,,0,0
1935,1935.4584,,0,0
1935,1935.5416,,0,0
1935,1935.625,,0,0
1935,1935.7084,,0,0
1935,1935.7916,,0,0
1935,1935.875,,0,0
1935,1935.9584,,0,0
1936,1936.0416,,0,0
1936,1936.125,,0,0
1936,1936.2084,,0,0
1936,1936.2916,,0,0
1936,1936.375,,0,0
1936,1936.4584,,0,0
1936,1936.5416,,0,0
1936,1936.625,,0,0
1936,1936.7084,,0,0
1936,1936.7916,,0,0
1936,1936.875,,0,0
1936,1936.9584,,0,0
1937,1937.0416,,0,0
1937,1937.125,,0,0
1937,1937.2084,,0,0
1937,1937.2916,,0,0
1937,1937.375,,0,0
1937,1937.4584,,0,0
1937,1937.5416,,0,0
1937,1937.625,,0,0
1937,1937.7084,,0,0
1937,1937.7916,,0,0
1937,1937.875,,0,0
1937,1937.9584,,0,0
1938,1938.0416,,0,0
1938,1938.125,,0,0
1938,1938.2084,,0,0
1938,1938.2916,,0,0
1938,1938.375,,0,0
1938,1938.4584,,0,0
1938,1938.5416,,0,0
1938,1938.625,,0,0
1938,1938.7084,,0,0
1938,1938.7916,,0,0
1938,1938.875,,0,0
1938,1938.9584,,0,0
1939,1939.0416,,0,0
1939,1939.125,,0,0
1939,1939.2084,,0,0
1939,1939.2916,,0,0
1939,1939.375,,0,0
1939,1939.4584,,0,0
1939,1939.5416,,0,0
1939,1939.625,,0,0
1939,1939.7084,,0,0
1939,1939.7916,,0,0
1939,1939.875,,0,0
1939,1939.9584,,0,0
1940,1940.0416,713.9,5,0
1940,1940.125,723.2,0,0
1940,1940.2084,712.2,0,0
1940,1940.2916,699.2,0,0
1940,1940.375,703.2,0,0
1940,1940.4584,698.2,0,0
1940,1940.5416,703.2,0,0
1940,1940.625,701.2,0,0
1940,1940.7084,708.2,0,0
1940,1940.7916,713.2,0,0
1940,1940.875,709.2,0,0
1940,1940.9584,725.2,0,0
1941,1941.0416,723.2,0,0
1941,1941.125,723.2,0,0
1941,1941.2084,716.2,0,0
1941,1941.2916,704.2,0,0
1941,1941.375,707.2,0,0
1941,1941.4584,702.2,0,0
1941,1941.5416,704.2,0,0
1941,1941.625,705.2,0,0
1941,1941.7084,709.2,0,0
1941,1941.7916,709.2,0,0
1941,1941.875,716.2,0,0
1941,1941.9584,729.2,0,0
1942,1942.0416,,0,0
1942,1942.125,,0,0
1942,1942.2084,,0,0
1942,1942.2916,,0,0
1942,1942.375,,0,0
1942,1942.4584,,0,0
1942,1942.5416,,0,0
1942,1942.625,,0,0
1942,1942.7084,,0,0
1942,1942.7916,,0,0
1942,1942.875,,0,0
1942,1942.9584,,0,0
1943,1943.0416,702.2,0,0
1943,1943.125,706.2,0,0
1943,1943.2084,700.2,0,0
1943,1943.2916,703.2,0,0
